"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法"
"PB-0016","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/desktop.js","705","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0017","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/desktop.js","716","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0018","CrossAppRecordSync","Medium","Low","添付ファイル","添付ファイル存在確認漏れの可能性","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/mobile.js","692","添付ファイルなしのレコードで例外になる可能性",".fileKey 近傍で添付ファイル配列の存在確認が確認できない。","添付ファイル配列のlength確認を行う。","未対応（潜在）","","添付ファイル関連語と配列参照確認"
"PB-0019","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/mobile.js","718","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0020","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/mobile.js","729","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0021","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DateSplit/DateSplit/contents/js/config.js","132","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0022","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DateSplit/DateSplit/contents/js/desktop.js","157","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0023","DateSplit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DateSplit/DateSplit/contents/js/mobile.js","156","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0024","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DoubleCheck/DoubleCheck/contents/js/config.js","123","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0025","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DoubleCheck/DoubleCheck/contents/js/desktop.js","236","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0026","DoubleCheck","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/DoubleCheck/DoubleCheck/contents/js/mobile.js","236","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-003","kintone.api近傍catch確認"
"PB-0027","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FieldHidden/FieldHidden/contents/js/config.js","210","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0028","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FieldHidden/FieldHidden/contents/js/desktop.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-011; BUG-012; BUG-022","kintone.api近傍catch確認"
"PB-0029","FieldHidden","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FieldHidden/FieldHidden/contents/js/mobile.js","106","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0030","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FractionCalculation/FractionCalculation/contents/js/config.js","148","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0031","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FractionCalculation/FractionCalculation/contents/js/config.js","567","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0032","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FractionCalculation/FractionCalculation/contents/js/desktop.js","323","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0033","FractionCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FractionCalculation/FractionCalculation/contents/js/mobile.js","323","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-009","kintone.api近傍catch確認"
"PB-0034","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FuriganaAutoInput/FuriganaAutoInput/contents/js/config.js","155","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0035","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FuriganaAutoInput/FuriganaAutoInput/contents/js/desktop.js","320","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0036","FuriganaAutoInput","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/FuriganaAutoInput/FuriganaAutoInput/contents/js/mobile.js","319","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0037","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/GetWeek/GetWeek/contents/js/config.js","121","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0038","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/GetWeek/GetWeek/contents/js/desktop.js","154","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0039","GetWeek","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/GetWeek/GetWeek/contents/js/mobile.js","154","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0040","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/InputHintSetting/InputHintSetting/contents/js/config.js","255","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0041","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/InputHintSetting/InputHintSetting/contents/js/desktop.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-016","kintone.api近傍catch確認"
"PB-0042","InputHintSetting","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/InputHintSetting/InputHintSetting/contents/js/mobile.js","174","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-006","kintone.api近傍catch確認"
"PB-0043","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/KeywordLookup/KeywordLookup/contents/js/config.js","725","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0044","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/KeywordLookup/KeywordLookup/contents/js/desktop.js","541","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0045","KeywordLookup","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/KeywordLookup/KeywordLookup/contents/js/mobile.js","541","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0046","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RecordRockb/RecordRockb/contents/js/config.js","79","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0047","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RecordRockb/RecordRockb/contents/js/desktop.js","92","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-025","kintone.api近傍catch確認"
"PB-0048","RecordRockb","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RecordRockb/RecordRockb/contents/js/mobile.js","93","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0049","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/config.js","222","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0050","RetirementConversion","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/RetirementConversion/RetirementConversion/contents/js/desktop.js","34","対象DOMが存在しない画面でJavaScriptエラーになる可能性","var space = kintone.app.getHeaderMenuSpaceElement(); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","未対応（潜在）","BUG-014; BUG-019","DOM取得後の近傍参照確認"
"PB-0051","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/desktop.js","126","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-014; BUG-019","kintone.api近傍catch確認"
"PB-0052","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/desktop.js","182","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-014; BUG-019","kintone.api近傍catch確認"
"PB-0053","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/desktop.js","258","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-014; BUG-019","kintone.api近傍catch確認"
"PB-0054","RetirementConversion","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/RetirementConversion/RetirementConversion/contents/js/mobile.js","34","対象DOMが存在しない画面でJavaScriptエラーになる可能性","var space = kintone.mobile.app.getHeaderSpaceElement(); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","未対応（潜在）","","DOM取得後の近傍参照確認"
"PB-0055","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/mobile.js","126","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0056","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/mobile.js","182","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0057","RetirementConversion","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/RetirementConversion/RetirementConversion/contents/js/mobile.js","258","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0058","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/StringConcatenation/StringConcatenation/contents/js/config.js","163","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0059","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/StringConcatenation/StringConcatenation/contents/js/desktop.js","189","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-021","kintone.api近傍catch確認"
"PB-0060","StringConcatenation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/StringConcatenation/StringConcatenation/contents/js/mobile.js","189","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0061","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubTableAutosorte/SubTableAutosort/contents/js/desktop.js","21","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0062","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubTableAutosorte/SubTableAutosort/contents/js/desktop.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0063","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubTableAutosorte/SubTableAutosort/contents/js/desktop.js","244","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0064","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubTableAutosorte/SubTableAutosort/contents/js/mobile.js","24","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-008","kintone.api近傍catch確認"
"PB-0065","SubTableAutosorte","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubTableAutosorte/SubTableAutosort/contents/js/mobile.js","203","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-008","kintone.api近傍catch確認"
"PB-0066","SubtableCopy","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubtableCopy/SubtableCopy/contents/js/config.js","398","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0067","SubtableCopy","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubtableCopy/SubtableCopy/contents/js/config.js","628","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0068","SubtableCopy","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubtableCopy/SubtableCopy/contents/js/desktop.js","120","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0069","SubtableCopy","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubtableCopy/SubtableCopy/contents/js/mobile.js","120","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0070","SubtableCopy","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/SubtableCopy/SubtableCopy/contents/js/mobile.js","265","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0071","TabDisplay","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TabDisplay/TabDisplay/contents/js/config.js","341","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
